"Name","Runtime","Sweep","activation","activations","batch_size","early_stopping","epoch","loss_fn","lr","model_architecture","optimizer","type","train_acc","train_f1","train_loss","train_precision","train_recall","val_acc","val_f1","val_loss","val_precision","val_recall"
"dauntless-sweep-28","33","jcu1wj7v","Tanh","Sigmoid","128","true","1000","CELoss","0.0001","arch1","mini-batch","single_label_classification","0.4263392857142857","0.09963484611371935","1.4008820635986154","0.07105654761904762","0.16666666666666666","0.4375","0.1217391304347826","1.3848225766327704","0.0875","0.2"
"clean-sweep-27","38","jcu1wj7v","Tanh","Sigmoid","128","true","1000","CELoss","0.001","arch1","mini-batch","single_label_classification","0.4263392857142857","0.09963484611371935","1.2019866841155409","0.07105654761904762","0.16666666666666666","0.4375","0.1217391304347826","1.1709799734840525","0.0875","0.2"
"fancy-sweep-26","34","jcu1wj7v","Tanh","Sigmoid","128","true","1000","CELoss","0.01","arch1","mini-batch","single_label_classification","0.4263392857142857","0.09963484611371935","1.1901556893771807","0.07105654761904762","0.16666666666666666","0.4375","0.1217391304347826","1.1501190870022115","0.0875","0.2"
"worldly-sweep-25","37","jcu1wj7v","Tanh","Sigmoid","128","true","1000","CELoss","0.1","arch1","mini-batch","single_label_classification","0.6104910714285714","0.2860631077351469","0.9351525254201513","0.28883440289763707","0.28334448696776454","0.6770833333333334","0.38656974019006296","0.881606445167479","0.40388669301712776","0.37067669172932327"
"rural-sweep-24","40","jcu1wj7v","Tanh","Sigmoid","64","true","1000","CELoss","0.0001","arch1","mini-batch","single_label_classification","0.3939732142857143","0.09420870029356819","1.3692579565837024","0.06566220238095238","0.16666666666666666","0.3958333333333333","0.11343283582089553","1.3547846131683714","0.07916666666666666","0.2"
"elated-sweep-23","44","jcu1wj7v","Tanh","Sigmoid","64","true","1000","CELoss","0.001","arch1","mini-batch","single_label_classification","0.4263392857142857","0.09963484611371935","1.1961572545946786","0.07105654761904762","0.16666666666666666","0.4375","0.1217391304347826","1.1614789560834862","0.0875","0.2"
"eager-sweep-22","38","jcu1wj7v","Tanh","Sigmoid","64","true","1000","CELoss","0.01","arch1","mini-batch","single_label_classification","0.4799107142857143","0.1706303930238316","1.169075754340087","0.15445892589704555","0.1905840736840544","0.46875","0.18968375646389313","1.120057939934001","0.168","0.21779448621553885"
"twilight-sweep-21","43","jcu1wj7v","Tanh","Sigmoid","64","true","1000","CELoss","0.1","arch1","mini-batch","single_label_classification","0.6540178571428571","0.31673802268114415","0.8653232097001216","0.31449425192964947","0.31901404002624706","0.65625","0.3795613871000875","0.8884990023695254","0.3873767514270887","0.3720551378446115"
"bumbling-sweep-20","55","jcu1wj7v","Tanh","Sigmoid","32","true","1000","CELoss","0.0001","arch1","mini-batch","single_label_classification","0.4263392857142857","0.09963484611371935","1.2506746899626364","0.07105654761904762","0.16666666666666666","0.4375","0.1217391304347826","1.2267296322711403","0.0875","0.2"
"jumping-sweep-19","58","jcu1wj7v","Tanh","Sigmoid","32","true","1000","CELoss","0.001","arch1","mini-batch","single_label_classification","0.4263392857142857","0.09963484611371935","1.1929660171903564","0.07105654761904762","0.16666666666666666","0.4375","0.1217391304347826","1.1548721968678561","0.0875","0.2"
"peachy-sweep-18","70","jcu1wj7v","Tanh","Sigmoid","32","true","1000","CELoss","0.01","arch1","mini-batch","single_label_classification","0.5892857142857143","0.21482397907708864","0.9849241314609511","0.1955185148218385","0.23835956078291778","0.625","0.2727895171201767","0.8988194569157346","0.25062961354754665","0.2992481203007519"
"peach-sweep-17","39","jcu1wj7v","Tanh","Sigmoid","32","true","1000","CELoss","0.1","arch1","mini-batch","single_label_classification","0.734375","0.36759545531553217","0.7468278654857065","0.3559304655088101","0.38005095126820704","0.6145833333333334","0.34640306506429897","1.0688204289382421","0.3419226044226044","0.3510025062656642"
"frosty-sweep-16","17","jcu1wj7v","Tanh","Relu","256","true","1000","CELoss","0.0001","arch1","mini-batch","single_label_classification","0.3841145833333333","0.20313436413495992","1.7257055748346575","0.1915361792640895","0.21622770729913585","0.3229166666666667","0.17284240861519792","1.8062299268326907","0.18771929824561404","0.16015037593984963"
"rare-sweep-15","14","jcu1wj7v","Tanh","Relu","256","true","1000","CELoss","0.001","arch1","mini-batch","single_label_classification","0.4440104166666667","0.15890086879907211","1.2207356258023747","0.14543650793650795","0.1751126126126126","0.4791666666666667","0.21526004360012457","1.2050724778915543","0.20669856459330144","0.2245614035087719"
"dutiful-sweep-14","15","jcu1wj7v","Tanh","Relu","256","true","1000","CELoss","0.01","arch1","mini-batch","single_label_classification","0.64453125","0.31686478228446296","0.8938558369052081","0.3217579193997775","0.31211824068966926","0.6145833333333334","0.3530103137510107","0.9283986247120736","0.35555555555555557","0.3505012531328321"
"smart-sweep-13","10","jcu1wj7v","Tanh","Relu","256","true","1000","CELoss","0.1","arch1","mini-batch","single_label_classification","0.7643229166666666","0.5817302966483114","0.5981619726491351","0.7379046975185809","0.48011581901333455","0.625","0.3853519351320046","1.52034968947897","0.38972314507198225","0.381077694235589"
"stoic-sweep-12","21","jcu1wj7v","Tanh","Relu","128","true","1000","CELoss","0.0001","arch1","mini-batch","single_label_classification","0.3939732142857143","0.16961999695953406","1.3794138809261483","0.1754762936557862","0.1641419688461985","0.3854166666666667","0.21974564765049448","1.4217175161279811","0.23414141414141412","0.20701754385964916"
"revived-sweep-11","11","jcu1wj7v","Tanh","Relu","128","true","1000","CELoss","0.001","arch1","mini-batch","single_label_classification","0.5904017857142857","0.2814846194794411","1.0059483583283177","0.2854799490417636","0.2775995767670945","0.6979166666666666","0.39926799017317444","0.9610084641889144","0.4061594202898551","0.3926065162907268"
"rose-sweep-10","16","jcu1wj7v","Tanh","Relu","128","true","1000","CELoss","0.01","arch1","mini-batch","single_label_classification","0.6618303571428571","0.5132185395878456","0.8076046971650216","0.8234807653548836","0.372770194906251","0.5520833333333334","0.31450429818447345","1.121174392214812","0.30833333333333335","0.3209273182957394"
"ethereal-sweep-9","17","jcu1wj7v","Tanh","Relu","128","true","1000","CELoss","0.1","arch1","mini-batch","single_label_classification","0.7924107142857143","0.5854282660545685","0.5291898965609138","0.644410621639683","0.5363377302146407","0.5","0.40477860833225926","1.9379993474523423","0.3990712074303405","0.4106516290726817"
"trim-sweep-8","26","jcu1wj7v","Tanh","Relu","64","true","1000","CELoss","0.0001","arch1","mini-batch","single_label_classification","0.4419642857142857","0.210957529065897","1.3891118974048207","0.21070940723185028","0.21120623594288315","0.5208333333333334","0.2668692287878276","1.3548971348234555","0.26152993348115305","0.27243107769423563"
"ethereal-sweep-7","17","jcu1wj7v","Tanh","Relu","64","true","1000","CELoss","0.001","arch1","mini-batch","single_label_classification","0.6194196428571429","0.3018019802873142","0.940139760066095","0.3123070056411152","0.2919806689657559","0.6354166666666666","0.35293805290937863","0.9340166596054265","0.35683760683760685","0.3491228070175439"
"fiery-sweep-6","18","jcu1wj7v","Tanh","Relu","64","true","1000","CELoss","0.01","arch1","mini-batch","single_label_classification","0.7109375","0.47409529949353846","0.7261324805220125","0.58270989300682","0.3996097731667477","0.7083333333333334","0.4223670834396002","0.9689621583171989","0.41262396140444924","0.4325814536340852"
"fine-sweep-5","16","jcu1wj7v","Tanh","Relu","64","true","1000","CELoss","0.1","arch1","mini-batch","single_label_classification","0.8225446428571429","0.6470490995993593","0.4419682310753454","0.7911912161912161","0.5473338179065836","0.6041666666666666","0.34337977755011345","1.514352082319099","0.3405658414811733","0.34624060150375946"
"faithful-sweep-4","50","jcu1wj7v","Tanh","Relu","32","true","1000","CELoss","0.0001","arch1","mini-batch","single_label_classification","0.5714285714285714","0.20920065838439353","1.165341620289294","0.1907075478749645","0.23166550484750506","0.6041666666666666","0.2662076878944349","1.2000862519183342","0.2455026455026455","0.29072681704260656"
"young-sweep-3","36","jcu1wj7v","Tanh","Relu","32","true","1000","CELoss","0.001","arch1","mini-batch","single_label_classification","0.6439732142857143","0.3116936256159851","0.8994259871100683","0.32324746117084824","0.3009372249416576","0.6458333333333334","0.38177591071732186","0.9647340161581424","0.41307317073170735","0.35488721804511275"
"trim-sweep-2","27","jcu1wj7v","Tanh","Relu","32","true","1000","CELoss","0.01","arch1","mini-batch","single_label_classification","0.6852678571428571","0.42177072460160164","0.7240543602265974","0.4992434800971386","0.36511246148082194","0.65625","0.40286820209469343","0.9479687111306321","0.3976068376068376","0.40827067669172934"
"noble-sweep-1","29","jcu1wj7v","Tanh","Relu","32","true","1000","CELoss","0.1","arch1","mini-batch","single_label_classification","0.8169642857142857","0.6259392081639835","0.433356443357256","0.7065199407871822","0.5618576469668674","0.5625","0.32231414135805897","2.244377569121555","0.32857142857142857","0.3162907268170426"
